generation,mean_cost,best_cost,mean_coverage,best_coverage,mean_distance,best_distance
0,359402981.4545901,288845697.8183002,332.48157089877213,332.48157089877213,0.9119512380050905,0.790815907114554
1,354691756.62353796,288845697.8183002,332.48157089877213,332.48157089877213,0.886421545802051,0.790815907114554
2,358178202.1075339,282355911.74467665,332.48157089877213,332.48157089877213,0.851742201803467,0.7856215458764937
3,351403537.1049218,272789110.2023586,332.48157089877213,332.48157089877213,0.8488478479915145,0.7856215458764937
4,330194798.57524186,259879682.0471903,332.48157089877213,332.48157089877213,0.8494075481678776,0.782637347555617
5,326557659.30704725,259879682.0471903,332.48157089877213,332.48157089877213,0.8540856098601286,0.7804868475868807
6,331613765.75464636,259879682.0471903,332.48157089877213,332.48157089877213,0.8363983405035189,0.7618463992930989
7,315875568.62508005,259879682.0471903,332.48157089877213,332.48157089877213,0.8397255624870215,0.754208383090414
8,300943223.7421546,259879682.0471903,332.48157089877213,332.48157089877213,0.8461702507579032,0.7320949239494478
9,299281211.4086656,259879682.0471903,332.48157089877213,332.48157089877213,0.84817568876146,0.7320949239494478
10,293649828.5340889,259879682.0471903,332.48157089877213,332.48157089877213,0.8606717635758931,0.7320949239494478
11,277690951.7301027,259100889.27640834,332.48157089877213,332.48157089877213,0.89308707904622,0.7320949239494478
12,272548649.6176734,259100889.27640834,332.48157089877213,332.48157089877213,0.9011345955772901,0.7320949239494478
13,281828198.59335905,259100889.27640834,332.48157089877213,332.48157089877213,0.8712243206297736,0.7320949239494478
14,284451325.1613316,258791747.51508683,332.48157089877213,332.48157089877213,0.8759651519999662,0.7320949239494478
15,307517260.53207886,250015781.54066643,332.48157089877213,332.48157089877213,0.815972086316763,0.7243238665080206
16,323296645.79911304,250015781.54066643,332.48157089877213,332.48157089877213,0.766732490249594,0.7243238665080206
17,318967577.86838037,247322226.3123709,332.48157089877213,332.48157089877213,0.7683107039252888,0.7243238665080206
18,299320459.20782834,247322226.3123709,332.48157089877213,332.48157089877213,0.7874779643897851,0.7243238665080206
19,330121126.8187345,247322226.3123709,332.48157089877213,332.48157089877213,0.7535451636372366,0.7243238665080206
20,330382777.55807364,247322226.3123709,332.48157089877213,332.48157089877213,0.7498650875063834,0.7243238665080206
21,336550359.4749024,245634401.48965764,332.48157089877213,332.48157089877213,0.7391912915476424,0.7241472840184411
22,335690272.03984123,245590268.6946097,332.48157089877213,332.48157089877213,0.7381799966587489,0.7215982390368993
23,320336798.93041015,245590268.6946097,332.48157089877213,332.48157089877213,0.749149821062781,0.7094186594434637
24,304062270.0573216,245004936.52339607,332.48157089877213,332.48157089877213,0.7566626671177938,0.7094186594434637
25,298946389.5830265,245004936.52339607,332.48157089877213,332.48157089877213,0.7579709411694994,0.7094186594434637
26,309529369.6264898,245004936.52339607,332.48157089877213,332.48157089877213,0.7465930756917757,0.7094186594434637
27,303195252.97745985,242127750.04075748,332.48157089877213,332.48157089877213,0.7495223958735702,0.7094186594434637
28,301333188.0167533,242127750.04075748,332.48157089877213,332.48157089877213,0.7469898434287895,0.7094186594434637
29,315651866.90683967,234400147.17626774,332.48157089877213,332.48157089877213,0.7366074634326307,0.7094186594434637
30,328717313.0880744,234400147.17626774,332.48157089877213,332.48157089877213,0.7307520548162274,0.7094186594434637
31,320798091.7915684,234400147.17626774,332.48157089877213,332.48157089877213,0.7328220736839127,0.7018605953979123
32,297264903.65572816,233646983.67106897,332.48157089877213,332.48157089877213,0.7400579946345769,0.7018605953979123
33,290967326.6720812,233646983.67106897,332.48157089877213,332.48157089877213,0.740125577262001,0.7018605953979123
34,285879363.802324,233646983.67106897,332.48157089877213,332.48157089877213,0.7429839418450297,0.7018605953979123
35,285974299.16750705,233646983.67106897,332.48157089877213,332.48157089877213,0.7421123895402347,0.6999443535184249
36,286022021.2967021,233646983.67106897,332.48157089877213,332.48157089877213,0.7412091946781494,0.6949256475105853
37,298524536.0202952,232312257.67347497,332.48157089877213,332.48157089877213,0.7316877022577439,0.6949256475105853
38,298540259.1593633,232312257.67347497,332.48157089877213,332.48157089877213,0.7288630814918554,0.6949256475105853
39,293592552.56892544,232312257.67347497,332.48157089877213,332.48157089877213,0.7304069470767998,0.6949256475105853
40,302553040.6751038,232312257.67347497,332.48157089877213,332.48157089877213,0.7197803809178202,0.6837277733902487
41,305634230.71558607,232312257.67347497,332.48157089877213,332.48157089877213,0.7142203125762526,0.6837277733902487
42,300683752.203518,232312257.67347497,332.48157089877213,332.48157089877213,0.7200582072604601,0.6837277733902487
43,296654373.0129055,231937175.45528892,332.48157089877213,332.48157089877213,0.7207591340879363,0.6837277733902487
44,305380514.189905,231937175.45528892,332.48157089877213,332.48157089877213,0.7146268778475382,0.6837277733902487
45,295877858.79076374,231937175.45528892,332.48157089877213,332.48157089877213,0.7185026004228873,0.6837277733902487
46,294608602.13498265,231937175.45528892,332.48157089877213,332.48157089877213,0.7172144334268202,0.6837277733902487
47,284720650.5610433,231937175.45528892,332.48157089877213,332.48157089877213,0.7166592318872967,0.6817891527289648
48,279306384.9499399,231937175.45528892,332.48157089877213,332.48157089877213,0.7161873159910308,0.6800250030827419
49,277016580.7305658,231937175.45528892,332.48157089877213,332.48157089877213,0.7175219520126916,0.6800250030827419
